kategorie;name;date;venue;city;country;from_price;currency;slug;url
Fussball;Fussball Weltmeisterschaft 2026 Tickets & Reisen;11.06.2026 – 19.07.2026;;;USA, Kanada und Mexiko;;;wm-2026-tickets;https://faltintravel.com/wm-2026-tickets/
Fussball;Fussball-EM 2028 Tickets & Reisen;Juni 2028 – Juli 2028;;;England & Irland;;;euro-2028-tickets;https://faltintravel.com/euro-2028-tickets/
Fussball;UEFA Nations League Tickets & Reisen;24.09.2026 – 13.06.2027;;;;;;nations-league-tickets;https://faltintravel.com/nations-league-tickets/
Fussball;UEFA Champions League Finale Tickets & Reisen;05.06.2027;Estadio Metropolitano;Madrid;Spanien;;;champions-league-finale-tickets;https://faltintravel.com/champions-league-finale-tickets/
Fussball;UEFA Champions League Tickets & Reisen;Saison 2025/2026;;;;;;champions-league-tickets;https://faltintravel.com/champions-league-tickets/
Fussball;UEFA Europa League Finale Tickets & Reisen;20.05.2026;Beşiktaş Stadium;Istanbul;Türkei;;;europa-league-finale-tickets;https://faltintravel.com/europa-league-finale-tickets/
Fussball;DFB-Pokalfinale 2027 Tickets & Reisen;29.05.2027;Olympiastadion;Berlin;Deutschland;;;dfb-pokalfinale-tickets;https://faltintravel.com/dfb-pokalfinale-tickets/
Fussball;Deutsche Fussball Bundesliga Tickets & Reisen;23.08.2025 – 16.05.2026;;;Deutschland;;;fussball-bundesliga-tickets;https://faltintravel.com/fussball-bundesliga-tickets/
Fussball;Premier League Tickets & Reisen;;;;England;;;premier-league-tickets;https://faltintravel.com/premier-league-tickets/
Fussball;Primera División Tickets & Reisen;;;;Spanien;;;primera-division-tickets;https://faltintravel.com/primera-division-tickets/
Fussball;Italienische Serie A Tickets & Reisen;;;;Italien;;;serie-a-tickets;https://faltintravel.com/serie-a-tickets/
Fussball;FA Cup Finale Tickets & Reisen;16.05.2026;Wembley Stadium;London;Vereinigtes Königreich;;;fa-cup-finale;https://faltintravel.com/fa-cup-finale/
Tennis;Wimbledon Tennis Championships 2026;29.06.2026 – 12.07.2026;All England Lawn Tennis & Croquet Club;London;Grossbritannien;;;wimbledon-tickets;https://faltintravel.com/wimbledon-tickets/
Tennis;Tennis French Open 2027;23.05.2027 – 06.06.2027;Roland Garros;Paris;Frankreich;;;french-open-tickets;https://faltintravel.com/french-open-tickets/
Tennis;US Open 2026;30.08.2026 – 13.09.2026;Arthur Ashe Stadium;New York;USA;;;us-open-tickets;https://faltintravel.com/us-open-tickets/
Tennis;Australian Open 2027;17.01.2027 – 31.01.2027;Rod Laver Arena;Melbourne;Australien;;;australian-open-tickets;https://faltintravel.com/australian-open-tickets/
Tennis;Miami Open 2026;14.03.2026 – 28.03.2026;Hard Rock Stadium;Miami Gardens;USA;;;miami-open-tickets;https://faltintravel.com/miami-open-tickets/
Tennis;BNP Paribas Open 2025;05.03.2025 – 16.03.2025;Indian Wells Tennis Garden;Indian Wells;USA;;;paribas-open-tickets;https://faltintravel.com/paribas-open-tickets/
Tennis;Nitto ATP Finals 2026;15.11.2026 – 22.11.2026;Inalpi Arena (Pala Alpitour);Turin;Italien;;;nitto-atp-finals-tickets;https://faltintravel.com/nitto-atp-finals-tickets/
